Date;Open;High;Low;Close;Adj Close;Volume
Dec 30, 2014;6,633.50;6,633.50;6,528.90;6,547.00;6,547.00;337,948,000
Dec 29, 2014;6,609.90;6,652.00;6,587.90;6,633.50;6,633.50;350,346,200
Dec 24, 2014;-;-;-;-;-;-
Dec 23, 2014;6,576.70;6,620.50;6,576.70;6,598.20;6,598.20;380,283,900
Dec 22, 2014;6,545.30;6,621.00;6,545.30;6,576.70;6,576.70;483,625,300
Dec 19, 2014;6,466.00;6,566.90;6,466.00;6,545.30;6,545.30;1,144,608,500
Dec 18, 2014;6,336.50;6,466.00;6,336.50;6,466.00;6,466.00;967,411,900
Dec 17, 2014;6,331.80;6,359.70;6,240.30;6,336.50;6,336.50;745,851,900
Dec 16, 2014;6,182.70;6,331.80;6,144.70;6,331.80;6,331.80;1,037,451,400
Dec 15, 2014;6,300.60;6,356.30;6,182.70;6,182.70;6,182.70;985,776,000
Dec 12, 2014;6,461.70;6,461.70;6,297.40;6,300.60;6,300.60;793,966,500
Dec 11, 2014;6,500.00;6,521.70;6,441.30;6,461.70;6,461.70;757,393,100
Dec 10, 2014;6,529.50;6,565.80;6,500.00;6,500.00;6,500.00;692,354,700
Dec 09, 2014;6,672.20;6,672.20;6,529.50;6,529.50;6,529.50;951,132,300
Dec 08, 2014;6,742.80;6,742.80;6,672.20;6,672.20;6,672.20;513,903,800
Dec 05, 2014;6,679.40;6,751.30;6,679.40;6,742.80;6,742.80;678,464,700
Dec 04, 2014;6,716.60;6,734.00;6,672.70;6,679.40;6,679.40;699,897,800
Dec 03, 2014;6,742.10;6,753.20;6,713.80;6,716.60;6,716.60;707,002,000
Dec 02, 2014;6,656.40;6,744.30;6,656.40;6,742.10;6,742.10;654,954,300
Dec 01, 2014;6,722.60;6,722.60;6,637.40;6,656.40;6,656.40;728,046,400
Nov 28, 2014;6,723.40;6,734.70;6,667.10;6,722.60;6,722.60;839,390,500
Nov 27, 2014;6,729.20;6,749.90;6,713.80;6,723.40;6,723.40;517,208,400
Nov 26, 2014;6,731.10;6,765.00;6,718.50;6,729.20;6,729.20;586,890,500
Nov 25, 2014;6,729.80;6,750.90;6,709.30;6,731.10;6,731.10;907,288,200
Nov 24, 2014;6,750.80;6,764.00;6,720.10;6,729.80;6,729.80;680,406,300
Nov 21, 2014;6,678.90;6,773.10;6,678.90;6,750.80;6,750.80;845,575,400
Nov 20, 2014;6,696.60;6,696.80;6,641.10;6,678.90;6,678.90;640,496,600
Nov 19, 2014;6,709.10;6,718.90;6,678.10;6,696.60;6,696.60;802,689,100
Nov 18, 2014;6,672.00;6,714.10;6,671.80;6,709.10;6,709.10;653,233,800
Nov 17, 2014;6,654.40;6,681.60;6,616.10;6,672.00;6,672.00;537,365,300
Nov 14, 2014;6,635.50;6,654.40;6,610.10;6,654.40;6,654.40;627,535,100
Nov 13, 2014;6,611.00;6,645.90;6,596.90;6,635.50;6,635.50;721,388,700
Nov 12, 2014;6,627.40;6,629.30;6,588.90;6,611.00;6,611.00;703,040,700
Nov 11, 2014;6,611.30;6,632.60;6,605.30;6,627.40;6,627.40;764,945,500
Nov 10, 2014;6,567.20;6,611.30;6,566.80;6,611.30;6,611.30;575,418,400
Nov 07, 2014;6,551.20;6,608.20;6,551.20;6,567.20;6,567.20;764,955,100
Nov 06, 2014;6,539.10;6,580.20;6,503.80;6,551.20;6,551.20;799,914,900
Nov 05, 2014;6,454.00;6,539.10;6,454.00;6,539.10;6,539.10;769,396,700
Nov 04, 2014;6,488.00;6,510.30;6,444.90;6,454.00;6,454.00;816,651,600
Nov 03, 2014;6,546.50;6,559.60;6,478.50;6,488.00;6,488.00;712,567,500
Oct 31, 2014;6,463.60;6,553.40;6,463.60;6,546.50;6,546.50;1,062,914,700
Oct 30, 2014;6,453.90;6,483.20;6,378.20;6,463.60;6,463.60;815,851,600
Oct 29, 2014;6,402.20;6,475.40;6,402.20;6,453.90;6,453.90;700,842,900
Oct 28, 2014;6,363.50;6,412.00;6,363.50;6,402.20;6,402.20;800,681,500
Oct 27, 2014;6,388.70;6,443.80;6,336.10;6,363.50;6,363.50;781,565,600
Oct 24, 2014;6,419.20;6,419.20;6,372.40;6,388.70;6,388.70;717,827,900
Oct 23, 2014;6,399.70;6,430.30;6,313.30;6,419.20;6,419.20;840,402,100
Oct 22, 2014;6,372.30;6,401.50;6,341.40;6,399.70;6,399.70;727,170,300
Oct 21, 2014;6,267.10;6,372.30;6,229.40;6,372.30;6,372.30;856,658,100
Oct 20, 2014;6,310.30;6,320.30;6,238.60;6,267.10;6,267.10;723,302,900
Oct 17, 2014;6,195.90;6,313.00;6,188.00;6,310.30;6,310.30;1,106,053,200
Oct 16, 2014;6,211.60;6,283.00;6,072.70;6,195.90;6,195.90;1,697,447,000
