Empresa;País de Origem;Código
Cia de Saneamento Basico do Estado de Sao Paulo;Brasil;SBSP3.SA
Cia de Saneamento do Paraná ;Brasil;SAPR4.SA
Aguas Andinas SA;Chile;AGUAS-A.SN
Inversiones Aguas Metropolitanas SA;Chile;IAM.SN
American Water Works Co., Inc. ;Estados Unidos;AWK
Aqua America, Inc. ;Estados Unidos;WTRU
California Water Service Grp;Estados Unidos;CWT
SJW Corp;Estados Unidos;SJW
Severn Trent Plc ;Reino Unido;SVT.L
Pennon Group PLC;Reino Unido;PNN.L
Suez Environnement Company SA;França;SEV.PA
Companhia de Saneamento de Minas Gerais;Brasil;CSMG3.SA
United Utilities Group Plc ;Reino Unido;UU.L
Veolia Environnement SA;França;VIE.PA
American States Water Co;Estados Unidos;AWR
Chengdu Xingrong Investment Co Ltd;China;000598.SZ
